customerid,age,gender,item_purchased,category,purchase_amount,location
66,65,Male,Backpack,Accessories,36,New Jersey
67,31,Male,Blouse,Clothing,94,Pennsylvania
68,45,Male,Coat,Outerwear,33,Connecticut
69,57,Male,Handbag,Accessories,46,Utah
70,48,Male,Belt,Accessories,70,Tennessee
71,22,Male,Belt,Accessories,29,Alabama
72,36,Male,Dress,Clothing,48,Virginia
73,18,Male,Dress,Clothing,26,Georgia
74,48,Male,Pants,Clothing,85,Hawaii
75,49,Male,Gloves,Accessories,58,Indiana
76,64,Male,Scarf,Accessories,85,Utah
77,50,Male,Hat,Accessories,43,Delaware
78,22,Male,Dress,Clothing,53,Delaware
79,50,Male,Skirt,Clothing,91,Nebraska
80,38,Male,Jacket,Outerwear,96,Iowa
81,19,Male,Sandals,Footwear,72,New York
82,67,Male,Shoes,Footwear,96,Virginia
83,19,Male,Pants,Clothing,28,Georgia
84,36,Male,Dress,Clothing,40,Texas
85,52,Male,Coat,Outerwear,32,Arizona
86,53,Male,Sunglasses,Accessories,95,New Mexico
87,24,Male,Hoodie,Clothing,41,Nevada
88,52,Male,Shoes,Footwear,53,Ohio
89,33,Male,T-shirt,Clothing,47,Wyoming
90,47,Male,Jacket,Outerwear,83,California
91,25,Male,Hat,Accessories,48,South Carolina
92,44,Male,Scarf,Accessories,99,South Carolina
93,61,Male,Jacket,Outerwear,87,Texas
94,37,Male,Sweater,Clothing,62,Florida
95,58,Male,Skirt,Clothing,76,Nevada
96,37,Male,Sneakers,Footwear,100,Missouri
97,32,Male,Gloves,Accessories,73,Delaware
98,21,Male,Shoes,Footwear,92,Virginia
99,20,Male,Jeans,Clothing,67,New York
100,26,Male,Hoodie,Clothing,40,Missouri
101,62,Male,Sunglasses,Accessories,98,South Dakota
102,27,Male,Coat,Outerwear,85,North Dakota
103,51,Male,Socks,Clothing,67,Oklahoma
104,54,Male,Boots,Footwear,89,West Virginia
105,55,Male,Sunglasses,Accessories,24,New Hampshire
106,69,Male,Backpack,Accessories,96,New York
107,64,Male,Jacket,Outerwear,35,Minnesota
108,28,Male,Sneakers,Footwear,67,Maryland
109,70,Male,Socks,Clothing,79,Montana
110,58,Male,T-shirt,Clothing,85,Alabama
111,56,Male,Backpack,Accessories,26,New York
112,26,Male,Belt,Accessories,75,Massachusetts
113,37,Male,Gloves,Accessories,65,Florida
114,44,Male,Hat,Accessories,54,New Jersey
115,70,Male,Coat,Outerwear,95,Massachusetts
116,53,Male,Skirt,Clothing,94,Wyoming
117,55,Male,Shoes,Footwear,86,Virginia
118,50,Male,Sandals,Footwear,32,South Dakota
119,50,Male,Sweater,Clothing,45,Kentucky
120,38,Male,Coat,Outerwear,76,Wyoming
121,64,Male,Hat,Accessories,84,West Virginia
122,19,Male,Shorts,Clothing,72,Virginia
123,40,Male,Backpack,Accessories,40,Washington
124,57,Male,Sweater,Clothing,89,Louisiana
125,44,Male,Sweater,Clothing,86,Nevada
126,49,Male,Shorts,Clothing,54,California
127,43,Male,Shorts,Clothing,36,Mississippi
128,24,Male,Sweater,Clothing,89,Mississippi
129,20,Male,Scarf,Accessories,32,California
130,24,Male,Dress,Clothing,67,Pennsylvania
131,44,Male,Scarf,Accessories,39,Kentucky
132,28,Male,Skirt,Clothing,29,Maine
133,30,Male,Backpack,Accessories,58,New Mexico
134,52,Male,Sweater,Clothing,65,Montana
135,43,Male,Hat,Accessories,94,Texas
136,43,Male,Sandals,Footwear,81,Kansas
137,39,Male,Blouse,Clothing,86,South Carolina
138,68,Male,Sneakers,Footwear,43,Colorado
139,68,Male,Skirt,Clothing,29,Georgia
140,49,Male,Coat,Outerwear,95,Florida
141,63,Male,Shirt,Clothing,28,North Carolina
142,56,Male,Gloves,Accessories,46,Virginia
143,37,Male,Jacket,Outerwear,58,Nebraska
144,30,Male,Coat,Outerwear,48,Missouri
145,19,Male,Shoes,Footwear,43,New Jersey
146,24,Male,Jewelry,Accessories,95,Missouri
147,52,Male,Skirt,Clothing,30,Colorado
148,63,Male,Shoes,Footwear,64,Idaho
149,37,Male,Gloves,Accessories,90,Wyoming
150,38,Male,Pants,Clothing,76,Delaware
151,35,Male,Boots,Footwear,96,California
152,28,Male,Sunglasses,Accessories,47,North Dakota
153,30,Male,Shirt,Clothing,85,South Carolina
154,69,Male,Hoodie,Clothing,55,North Carolina
155,41,Male,Dress,Clothing,98,Oklahoma
156,63,Male,Socks,Clothing,77,Maine
157,35,Male,Shorts,Clothing,26,Missouri
158,36,Male,Hat,Accessories,68,Vermont
159,25,Male,Shirt,Clothing,73,Connecticut
160,58,Male,Gloves,Accessories,27,New Hampshire
161,27,Male,Gloves,Accessories,23,Texas
162,65,Male,Backpack,Accessories,49,North Dakota
163,54,Male,Sunglasses,Accessories,74,California
164,54,Male,Skirt,Clothing,67,Virginia
165,59,Male,Handbag,Accessories,65,Delaware
166,42,Male,Handbag,Accessories,60,Kentucky
167,46,Male,Sneakers,Footwear,31,Delaware
168,33,Male,Gloves,Accessories,27,Arkansas
169,34,Male,Shoes,Footwear,80,Louisiana
170,27,Male,Jacket,Outerwear,30,Nevada
171,52,Male,Shirt,Clothing,25,Wyoming
172,29,Male,Shorts,Clothing,35,Virginia
173,54,Male,Jewelry,Accessories,67,Nebraska
174,25,Male,Hat,Accessories,46,Hawaii
175,41,Male,Shoes,Footwear,35,Vermont
176,53,Male,Coat,Outerwear,86,Oklahoma
177,53,Male,Backpack,Accessories,81,New Hampshire
178,21,Male,Hoodie,Clothing,42,Kansas
179,61,Male,Skirt,Clothing,43,Idaho
180,64,Male,Boots,Footwear,31,Illinois
181,51,Male,Sandals,Footwear,81,South Dakota
182,32,Male,Pants,Clothing,61,Massachusetts
183,38,Male,Gloves,Accessories,96,Alabama
184,58,Male,Skirt,Clothing,29,Ohio
185,32,Male,Sneakers,Footwear,33,Hawaii
186,46,Male,T-shirt,Clothing,32,Wisconsin
187,39,Male,Backpack,Accessories,56,Minnesota
188,19,Male,Shoes,Footwear,94,Georgia
189,50,Male,Hoodie,Clothing,53,Arkansas
190,36,Male,Blouse,Clothing,82,West Virginia
191,65,Male,Coat,Outerwear,70,Indiana
192,64,Male,Hat,Accessories,76,Utah
193,46,Male,Shoes,Footwear,29,Nebraska
194,36,Male,Belt,Accessories,100,North Dakota
195,51,Male,Backpack,Accessories,94,Missouri
196,51,Male,Jacket,Outerwear,25,New York
197,38,Male,Boots,Footwear,88,Washington
198,59,Male,Scarf,Accessories,78,South Carolina
199,57,Male,Jewelry,Accessories,45,Utah
200,54,Male,Hat,Accessories,73,Idaho
201,25,Male,Dress,Clothing,61,Pennsylvania
202,69,Male,Blouse,Clothing,22,Missouri
203,57,Male,Hat,Accessories,38,Nebraska
204,70,Male,Scarf,Accessories,38,Indiana
205,24,Male,Sneakers,Footwear,100,Arizona
206,67,Male,Shirt,Clothing,64,Hawaii
207,24,Male,T-shirt,Clothing,55,Wisconsin
208,62,Male,Gloves,Accessories,91,Rhode Island
209,57,Male,Skirt,Clothing,38,Wisconsin
210,55,Male,Sandals,Footwear,97,Minnesota
211,45,Male,Jacket,Outerwear,22,Vermont
212,69,Male,Skirt,Clothing,92,South Dakota
213,67,Male,Handbag,Accessories,84,Virginia
214,30,Male,Handbag,Accessories,93,Nevada
215,24,Male,Jacket,Outerwear,50,Hawaii
216,62,Male,Scarf,Accessories,64,New Jersey
217,43,Male,Shorts,Clothing,61,Massachusetts
218,35,Male,Sunglasses,Accessories,48,Oklahoma
219,28,Male,T-shirt,Clothing,45,California
220,32,Male,Belt,Accessories,88,Nevada
221,39,Male,Sneakers,Footwear,57,Arizona
222,28,Male,Hat,Accessories,68,North Carolina
223,47,Male,Gloves,Accessories,94,New York
224,20,Male,Pants,Clothing,41,Wyoming
225,63,Male,Socks,Clothing,83,South Dakota
226,25,Male,Jacket,Outerwear,22,Arkansas
227,29,Male,Shoes,Footwear,74,Texas
228,50,Male,Jeans,Clothing,90,Rhode Island
229,18,Male,Socks,Clothing,79,New Hampshire
230,70,Male,Sandals,Footwear,28,Ohio
231,66,Male,Scarf,Accessories,88,Utah
232,28,Male,Blouse,Clothing,26,Tennessee
233,54,Male,Jewelry,Accessories,27,Hawaii
234,19,Male,Sweater,Clothing,83,Arizona
235,20,Male,Gloves,Accessories,39,South Dakota
236,43,Male,Sunglasses,Accessories,89,New Jersey
237,38,Male,Coat,Outerwear,68,North Dakota
238,50,Male,Dress,Clothing,90,Iowa
239,64,Male,Skirt,Clothing,34,Ohio
240,49,Male,Pants,Clothing,51,Vermont
241,47,Male,Sweater,Clothing,45,Montana
242,36,Male,Hoodie,Clothing,88,Delaware
243,55,Male,Coat,Outerwear,85,New York
244,25,Male,Jewelry,Accessories,100,Kentucky
245,53,Male,Belt,Accessories,42,Oregon
246,49,Male,Sandals,Footwear,53,Rhode Island
247,35,Male,Sunglasses,Accessories,86,Nevada
248,29,Male,Sweater,Clothing,66,Montana
249,47,Male,Belt,Accessories,100,Pennsylvania
250,53,Male,Handbag,Accessories,47,Alaska
251,33,Male,Skirt,Clothing,25,Mississippi
252,21,Male,Handbag,Accessories,51,Wyoming
253,32,Male,Shorts,Clothing,41,Delaware
254,52,Male,Boots,Footwear,73,Oklahoma
255,67,Male,Sunglasses,Accessories,42,Indiana
256,43,Male,Scarf,Accessories,20,Maryland
257,58,Male,Jewelry,Accessories,30,South Dakota
258,20,Male,Handbag,Accessories,53,West Virginia
259,61,Male,Gloves,Accessories,74,Alabama
260,32,Male,Jeans,Clothing,57,Louisiana
261,38,Male,Hat,Accessories,57,Montana
262,21,Male,Jeans,Clothing,77,California
263,37,Male,Pants,Clothing,40,Hawaii
264,27,Male,Shorts,Clothing,46,Iowa
265,36,Male,Pants,Clothing,78,Colorado
266,32,Male,Backpack,Accessories,59,Michigan
267,51,Male,Jewelry,Accessories,75,Louisiana
268,64,Male,Sweater,Clothing,54,Maryland
269,68,Male,Shoes,Footwear,42,Georgia
270,68,Male,Blouse,Clothing,44,Georgia
271,33,Male,Jeans,Clothing,52,North Dakota
272,65,Male,Sunglasses,Accessories,69,Maryland
273,48,Male,Jewelry,Accessories,26,Oregon
274,69,Male,Coat,Outerwear,33,North Dakota
275,59,Male,Jewelry,Accessories,32,Maryland
276,48,Male,Backpack,Accessories,85,Virginia
277,25,Male,Skirt,Clothing,30,South Dakota
278,29,Male,Shirt,Clothing,29,Georgia
279,57,Male,Sweater,Clothing,95,Hawaii
280,23,Male,Sneakers,Footwear,69,Arkansas
281,45,Male,Sandals,Footwear,69,Montana
282,38,Male,Belt,Accessories,61,Oklahoma
283,21,Male,Skirt,Clothing,94,Minnesota
284,32,Male,Sweater,Clothing,30,Montana
285,63,Male,Skirt,Clothing,45,Ohio
286,29,Male,Handbag,Accessories,39,Kentucky
287,27,Male,Jewelry,Accessories,51,Nebraska
288,56,Male,Scarf,Accessories,37,Delaware
289,30,Male,T-shirt,Clothing,62,North Carolina
290,49,Male,Coat,Outerwear,85,New York
291,58,Male,T-shirt,Clothing,33,Colorado
292,57,Male,Dress,Clothing,26,Delaware
293,60,Male,Shoes,Footwear,99,Utah
294,69,Male,Handbag,Accessories,39,Connecticut
295,70,Male,Skirt,Clothing,20,New Jersey
296,53,Male,Sunglasses,Accessories,42,West Virginia
297,25,Male,Sandals,Footwear,74,Indiana
298,48,Male,Shoes,Footwear,26,Delaware
299,69,Male,T-shirt,Clothing,53,Maryland
300,25,Male,Sneakers,Footwear,80,Pennsylvania
301,29,Male,Hat,Accessories,98,Iowa
302,46,Male,Skirt,Clothing,95,Pennsylvania
303,37,Male,Sweater,Clothing,44,Delaware
304,20,Male,Sandals,Footwear,60,Oregon
305,40,Male,Dress,Clothing,84,Oregon
306,60,Male,Sweater,Clothing,59,Utah
307,26,Male,Jacket,Outerwear,49,North Dakota
308,29,Male,Gloves,Accessories,32,Florida
309,66,Male,Handbag,Accessories,29,Maryland
310,66,Male,Dress,Clothing,22,Minnesota
311,56,Male,Pants,Clothing,85,Montana
312,69,Male,Jeans,Clothing,52,Rhode Island
313,38,Male,Pants,Clothing,89,Massachusetts
314,42,Male,Dress,Clothing,77,Vermont
315,30,Male,Pants,Clothing,24,New Jersey
316,66,Male,Jewelry,Accessories,24,Wisconsin
317,36,Male,Handbag,Accessories,22,California
318,58,Male,Sweater,Clothing,82,West Virginia
319,45,Male,Backpack,Accessories,67,South Dakota
320,47,Male,Shorts,Clothing,74,Maine
321,66,Male,Jewelry,Accessories,72,Kansas
322,41,Male,Sneakers,Footwear,36,Vermont
323,41,Male,Belt,Accessories,95,Tennessee
324,66,Male,Hoodie,Clothing,78,Tennessee
325,37,Male,Shirt,Clothing,82,Wyoming
326,70,Male,Pants,Clothing,70,Vermont
327,62,Male,Scarf,Accessories,41,New Jersey
328,61,Male,Coat,Outerwear,42,Iowa
329,48,Male,Coat,Outerwear,50,Florida
330,70,Male,Socks,Clothing,31,Nevada
331,46,Male,Sweater,Clothing,51,North Dakota
332,31,Male,Shirt,Clothing,98,Florida
333,19,Male,Shirt,Clothing,86,New York
334,39,Male,Sweater,Clothing,64,Alaska
335,41,Male,Blouse,Clothing,46,Kansas
336,20,Male,Sweater,Clothing,85,Oregon
337,36,Male,Hat,Accessories,81,Rhode Island
338,32,Male,Sweater,Clothing,59,New Mexico
339,69,Male,Hoodie,Clothing,79,Massachusetts
340,40,Male,Shorts,Clothing,33,Pennsylvania
341,40,Male,Shorts,Clothing,47,New Jersey
342,20,Male,Hat,Accessories,20,Utah
343,64,Male,Coat,Outerwear,36,Kentucky
344,27,Male,Sandals,Footwear,39,Nebraska
345,24,Male,Skirt,Clothing,71,Virginia
346,48,Male,Shoes,Footwear,59,Wyoming
347,49,Male,Jeans,Clothing,50,New Mexico
348,36,Male,Sandals,Footwear,41,Oregon
349,56,Male,Blouse,Clothing,59,South Carolina
350,37,Male,Hat,Accessories,87,Arizona
351,42,Male,Sweater,Clothing,68,Kentucky
352,28,Male,Skirt,Clothing,90,New York
353,27,Male,Jeans,Clothing,71,Texas
354,63,Male,Sneakers,Footwear,64,Missouri
355,58,Male,Jewelry,Accessories,76,Pennsylvania
356,37,Male,Jewelry,Accessories,42,Oregon
357,56,Male,Pants,Clothing,80,Nevada
358,18,Male,Belt,Accessories,56,Arkansas
359,48,Male,Hat,Accessories,25,Minnesota
360,31,Male,Sneakers,Footwear,74,Georgia
361,51,Male,Pants,Clothing,30,Rhode Island
362,65,Male,T-shirt,Clothing,96,Nevada
363,53,Male,Sneakers,Footwear,64,Texas
364,55,Male,Shorts,Clothing,88,Florida
365,62,Male,Shoes,Footwear,88,North Dakota
366,55,Male,Gloves,Accessories,88,West Virginia
367,64,Male,Socks,Clothing,36,Nebraska
368,52,Male,Dress,Clothing,40,Tennessee
369,24,Male,Handbag,Accessories,39,Oklahoma
370,38,Male,Belt,Accessories,40,Wisconsin
371,59,Male,Scarf,Accessories,34,Oregon
372,27,Male,Sneakers,Footwear,83,North Carolina
373,24,Male,Sweater,Clothing,85,Pennsylvania
374,23,Male,Coat,Outerwear,27,North Dakota
375,69,Male,Jewelry,Accessories,78,Ohio
376,59,Male,Sunglasses,Accessories,32,Oklahoma
377,51,Male,Shoes,Footwear,51,South Carolina
378,63,Male,Scarf,Accessories,32,Maine
379,54,Male,Dress,Clothing,62,Nevada
380,32,Male,T-shirt,Clothing,29,Montana
381,39,Male,Backpack,Accessories,69,New Hampshire
382,66,Male,Jewelry,Accessories,25,Maine
383,28,Male,Jeans,Clothing,76,California
384,50,Male,Sunglasses,Accessories,77,West Virginia
385,70,Male,Sweater,Clothing,33,California
386,67,Male,Shorts,Clothing,93,West Virginia
387,64,Male,Jewelry,Accessories,39,Louisiana
388,45,Male,Coat,Outerwear,93,Georgia
389,22,Male,Handbag,Accessories,82,Washington
390,27,Male,Boots,Footwear,42,Virginia
391,25,Male,Gloves,Accessories,71,Indiana
392,37,Male,Sweater,Clothing,86,Minnesota
393,26,Male,T-shirt,Clothing,82,Idaho
394,33,Male,Shoes,Footwear,65,Vermont
395,43,Male,Scarf,Accessories,29,North Dakota
396,37,Male,Sneakers,Footwear,65,Rhode Island
397,46,Male,Dress,Clothing,88,South Carolina
398,22,Male,Belt,Accessories,46,Mississippi
399,20,Male,Boots,Footwear,67,Montana
400,60,Male,Scarf,Accessories,35,Idaho
401,39,Male,Boots,Footwear,66,Utah
402,43,Male,T-shirt,Clothing,91,Oklahoma
403,31,Male,Backpack,Accessories,78,California
404,19,Male,Sneakers,Footwear,45,Nevada
405,35,Male,T-shirt,Clothing,93,Delaware
406,41,Male,Jeans,Clothing,74,South Carolina
407,52,Male,Gloves,Accessories,55,Maryland
408,45,Male,Hoodie,Clothing,76,North Carolina
409,34,Male,Sneakers,Footwear,66,Alabama
410,35,Male,Shorts,Clothing,51,Minnesota
411,29,Male,Sweater,Clothing,26,Virginia
412,59,Male,Jeans,Clothing,29,Michigan
413,24,Male,Jacket,Outerwear,74,Maine
414,70,Male,Jewelry,Accessories,99,Nevada
415,29,Male,Backpack,Accessories,88,Wyoming
416,67,Male,Coat,Outerwear,31,Connecticut
417,36,Male,Belt,Accessories,55,Oregon
418,23,Male,Sandals,Footwear,81,Mississippi
419,18,Male,Sweater,Clothing,73,Illinois
420,53,Male,Shorts,Clothing,91,Utah
421,32,Male,Socks,Clothing,54,North Carolina
422,38,Male,Shirt,Clothing,40,Kentucky
423,47,Male,Pants,Clothing,59,Minnesota
424,46,Male,Scarf,Accessories,26,New York
425,66,Male,Sweater,Clothing,23,Illinois
426,40,Male,Jeans,Clothing,87,North Dakota
427,43,Male,Pants,Clothing,71,Louisiana
428,58,Male,Backpack,Accessories,91,Illinois
429,21,Male,Coat,Outerwear,64,Wyoming
430,42,Male,Sandals,Footwear,94,Washington
431,24,Male,Shirt,Clothing,40,Texas
432,43,Male,Hat,Accessories,76,New Hampshire
433,47,Male,Shirt,Clothing,86,Indiana
434,49,Male,Skirt,Clothing,92,Alabama
435,50,Male,Shoes,Footwear,52,Oklahoma
436,51,Male,Coat,Outerwear,28,Montana
437,40,Male,Pants,Clothing,46,Tennessee
438,45,Male,Jewelry,Accessories,50,New Mexico
439,52,Male,Belt,Accessories,23,Iowa
440,62,Male,Jacket,Outerwear,50,Idaho
441,20,Male,Shirt,Clothing,89,Oklahoma
442,43,Male,Hoodie,Clothing,81,Florida
443,29,Male,Sunglasses,Accessories,69,Michigan
444,22,Male,Sunglasses,Accessories,67,Hawaii
445,48,Male,Dress,Clothing,20,California
446,42,Male,Boots,Footwear,29,Iowa
447,19,Male,Shirt,Clothing,74,West Virginia
448,60,Male,Shorts,Clothing,82,Washington
449,32,Male,Gloves,Accessories,23,Missouri
450,26,Male,Jewelry,Accessories,45,New York
451,25,Male,Boots,Footwear,21,Connecticut
452,66,Male,Jewelry,Accessories,31,Virginia
453,45,Male,Pants,Clothing,45,Missouri
454,54,Male,Jewelry,Accessories,56,Nebraska
455,37,Male,Jacket,Outerwear,97,New Jersey
456,54,Male,Blouse,Clothing,100,Utah
457,50,Male,Blouse,Clothing,96,North Carolina
458,25,Male,Gloves,Accessories,99,Rhode Island
459,47,Male,Shorts,Clothing,91,Arkansas
460,63,Male,Hat,Accessories,30,Maryland
461,64,Male,Shoes,Footwear,65,South Carolina
462,18,Male,Boots,Footwear,93,Ohio
463,59,Male,Jacket,Outerwear,81,Illinois
464,37,Male,Jewelry,Accessories,81,Georgia
465,23,Male,Sunglasses,Accessories,52,Alabama
466,54,Male,Skirt,Clothing,88,Oklahoma
467,38,Male,Jeans,Clothing,24,Vermont
468,19,Male,Backpack,Accessories,51,Nebraska
469,34,Male,Backpack,Accessories,38,Georgia
470,21,Male,Shorts,Clothing,46,Alabama
471,50,Male,Dress,Clothing,63,Minnesota
472,55,Male,Scarf,Accessories,72,Missouri
473,20,Male,Jeans,Clothing,39,Georgia
474,34,Male,Coat,Outerwear,42,West Virginia
475,62,Male,Sweater,Clothing,76,Arkansas
476,21,Male,Sneakers,Footwear,66,Ohio
477,21,Male,Scarf,Accessories,90,Connecticut
478,42,Male,Sweater,Clothing,56,North Dakota
479,35,Male,Jewelry,Accessories,43,Kansas
480,39,Male,Handbag,Accessories,84,Iowa
481,68,Male,Hoodie,Clothing,88,Vermont
482,46,Male,Hat,Accessories,88,Wisconsin
483,41,Male,Belt,Accessories,42,Connecticut
484,23,Male,Hoodie,Clothing,73,Oklahoma
485,68,Male,Hat,Accessories,73,Missouri
486,48,Male,Shoes,Footwear,44,Tennessee
487,38,Male,Sandals,Footwear,63,New Mexico
488,41,Male,Jacket,Outerwear,68,Iowa
489,58,Male,Sweater,Clothing,29,Maine
490,49,Male,Socks,Clothing,85,South Dakota
491,57,Male,Sneakers,Footwear,42,Colorado
492,49,Male,Coat,Outerwear,69,Vermont
493,50,Male,Shirt,Clothing,62,Michigan
494,28,Male,Backpack,Accessories,48,Nevada
495,38,Male,Boots,Footwear,68,Indiana
496,33,Male,Handbag,Accessories,36,Michigan
497,30,Male,Dress,Clothing,63,California
498,43,Male,Sneakers,Footwear,39,Oklahoma
499,43,Male,Boots,Footwear,78,Iowa
500,36,Male,Shoes,Footwear,99,Rhode Island
501,36,Male,T-shirt,Clothing,31,Washington
502,64,Male,Boots,Footwear,45,Florida
503,59,Male,Pants,Clothing,30,South Carolina
504,55,Male,Shoes,Footwear,24,West Virginia
505,42,Male,Shoes,Footwear,22,Missouri
506,61,Male,T-shirt,Clothing,63,Maine
507,28,Male,Scarf,Accessories,40,Georgia
508,65,Male,Shorts,Clothing,20,Maine
509,27,Male,Jewelry,Accessories,20,Illinois
510,41,Male,T-shirt,Clothing,80,Delaware
511,21,Male,Shirt,Clothing,87,West Virginia
512,61,Male,Shirt,Clothing,46,Hawaii
513,19,Male,Gloves,Accessories,49,New York
514,22,Male,Scarf,Accessories,65,New Mexico
515,64,Male,Skirt,Clothing,62,Indiana
516,28,Male,Hat,Accessories,67,Kentucky
517,34,Male,Hoodie,Clothing,41,West Virginia
518,61,Male,Boots,Footwear,49,North Dakota
519,24,Male,Blouse,Clothing,100,Oregon
520,19,Male,Belt,Accessories,54,Minnesota
521,51,Male,Sunglasses,Accessories,84,South Carolina
522,36,Male,Shorts,Clothing,41,Vermont
523,65,Male,Gloves,Accessories,88,Minnesota
524,46,Male,Sandals,Footwear,40,Delaware
525,59,Male,Shirt,Clothing,39,Pennsylvania
526,51,Male,Coat,Outerwear,37,Iowa
527,51,Male,Pants,Clothing,52,New Jersey
528,21,Male,T-shirt,Clothing,23,South Carolina
529,34,Male,Sneakers,Footwear,88,Maryland
530,32,Male,Shorts,Clothing,84,California
531,48,Male,Coat,Outerwear,37,Montana
532,50,Male,Sandals,Footwear,51,Vermont
533,26,Male,Pants,Clothing,76,Texas
534,57,Male,Sandals,Footwear,60,North Carolina
535,65,Male,Gloves,Accessories,72,Florida
536,56,Male,T-shirt,Clothing,45,West Virginia
537,44,Male,Jacket,Outerwear,84,Illinois
538,50,Male,Blouse,Clothing,49,Virginia
539,27,Male,Socks,Clothing,22,Virginia
540,49,Male,Coat,Outerwear,48,Wyoming
541,49,Male,Dress,Clothing,37,South Carolina
542,52,Male,Jacket,Outerwear,27,Connecticut
543,27,Male,Boots,Footwear,79,Illinois
544,53,Male,Skirt,Clothing,98,Alabama
545,34,Male,Sandals,Footwear,64,Washington
546,33,Male,Coat,Outerwear,32,Alabama
547,62,Male,Hoodie,Clothing,74,New Mexico
548,38,Male,Jacket,Outerwear,50,Nevada
549,36,Male,Backpack,Accessories,64,Nebraska
550,31,Male,Backpack,Accessories,29,Arizona
551,62,Male,Belt,Accessories,62,Georgia
552,29,Male,Coat,Outerwear,78,Idaho
553,24,Male,T-shirt,Clothing,94,Missouri
554,63,Male,Sunglasses,Accessories,59,Florida
555,56,Male,Sneakers,Footwear,47,Minnesota
556,63,Male,Gloves,Accessories,57,Maine
557,40,Male,Coat,Outerwear,90,Montana
558,18,Male,Shirt,Clothing,60,Alaska
559,50,Male,Sneakers,Footwear,77,Iowa
560,66,Male,Scarf,Accessories,41,Arizona
561,25,Male,Jewelry,Accessories,48,Louisiana
562,65,Male,Jacket,Outerwear,65,Alabama
563,53,Male,Jeans,Clothing,62,Missouri
564,61,Male,Shoes,Footwear,99,Idaho
565,67,Male,Hoodie,Clothing,58,Florida
566,59,Male,Backpack,Accessories,43,Idaho
567,55,Male,Sneakers,Footwear,93,Alabama
568,21,Male,Blouse,Clothing,50,New Hampshire
569,44,Male,Pants,Clothing,88,Utah
570,65,Male,Skirt,Clothing,33,Alabama
571,65,Male,T-shirt,Clothing,99,Iowa
572,54,Male,Jacket,Outerwear,76,Kentucky
